func_id,bytes/cluster,cc/cluster,max,type,micro-service-type
33,7.867,268,9,ser,nginx
42,7.64,239,9,ser,nginx
138,0.029,319,1,enc,nginx
174,0.081,693,4,enc,nginx
58,0.327,345,13,ser,nginx
149,0.172,118,8,ser,nginx
120,0.012,29.51,1,ser,mongod
125,0,14.54,0,ser,mongod
128,1.12,261.62,1,enc,mongod
129,0.0073,221.64,5,enc,mongod
184,0.00313,23.09,1,ser,mongod
241,41.63,16.89,16,ser,mongod
254,33.91,38.69,14,ser,mongod
260,78.4,145.74,25,enc,mongod
293,42.002,52.61,22,ser,mongod
314,33.58,136.68,1,ser,mongod
329,19.65,37.1,1,ser,mongod
100,1.123,292.6,1,enc,other
125,0.224,223,24,enc,other
162,0.0107,26.359,8,ser,other
173,5.04,35.35,27,ser,other
332,0.56,140.44,23,enc,other
341,0,33.99,0,ser,other
382,0.18,98.15,23,enc,other
564,0.3,78.29,2,enc,other
